level_0,index,date_reg,type,maker,model,colour,fuel,state
1,1,2025-01-01,window_van,Cam,Placer-X,yellow,greendiesel,Johor
8,8,2025-01-01,pick_up,Ford,Ranger,white,greendiesel,Johor
9,12,2025-01-01,pick_up,Ford,Ranger,white,petrol,Johor
13,21,2025-01-01,motokar,Great Wall,Ora,green,electric,Johor
14,22,2025-01-01,motokar,Honda,City,grey,petrol,Johor
15,23,2025-01-01,window_van,Honda,N-Box,grey,petrol,Johor
16,24,2025-01-01,window_van,Honda,STEPWGN,white,petrol,Johor
18,26,2025-01-01,jip,Jeep,Wrangler,grey,petrol,Johor
19,27,2025-01-01,jip,Lexus,RX,black,petrol,Johor
20,28,2025-01-01,jip,Lexus,RX,white,petrol,Johor
22,32,2025-01-01,jip,MG,MG HS,black,petrol,Kedah
32,46,2025-01-01,pick_up,Nissan,Navara,grey,greendiesel,Johor
35,49,2025-01-01,motokar_pelbagai_utiliti,Perodua,Alza,red,petrol,Kelantan
39,54,2025-01-01,motokar,Perodua,Bezza,silver,petrol,Johor
42,57,2025-01-01,motokar,Porsche,911 Carrera,grey,petrol,Johor
43,58,2025-01-01,jip,Porsche,Macan,white,petrol,Johor
44,59,2025-01-01,motokar,Proton,Iriz,silver,petrol,Terengganu
47,62,2025-01-01,jip,Rolls Royce,Cullinan,white,petrol,Johor
48,63,2025-01-01,window_van,Toyota,Alphard,black,petrol,Johor
49,64,2025-01-01,window_van,Toyota,Alphard,white,petrol,Kedah
50,65,2025-01-01,window_van,Toyota,Alphard,white,petrol,Johor
54,76,2025-01-01,jip,Toyota,Harrier,black,petrol,Kelantan
55,77,2025-01-01,jip,Toyota,Harrier,black,petrol,Johor
56,78,2025-01-01,jip,Toyota,Harrier,white,petrol,Kedah
58,80,2025-01-01,pick_up,Toyota,Hilux,black,greendiesel,Johor
59,81,2025-01-01,pick_up,Toyota,Hilux,silver,greendiesel,Kedah
60,82,2025-01-01,pick_up,Toyota,Hilux,black,greendiesel,Kedah
61,83,2025-01-01,pick_up,Toyota,Hilux,brown,greendiesel,Kedah
62,84,2025-01-01,pick_up,Toyota,Hilux,silver,greendiesel,Johor
63,86,2025-01-01,jip,Toyota,Land Cruiser,black,petrol,Johor
64,87,2025-01-01,jip,Toyota,Land Cruiser Prado,white,diesel,Johor
65,88,2025-01-01,window_van,Toyota,Vellfire,white,petrol,Johor
69,92,2025-01-02,motokar,BMW,3 Series,grey,petrol,Kedah
70,93,2025-01-02,motokar,BMW,3 Series,blue,petrol,Johor
71,94,2025-01-02,motokar,BMW,7 Series,grey,hybrid_petrol,W.P. Kuala Lumpur
72,95,2025-01-02,motokar,BMW,7 Series,black,hybrid_petrol,W.P. Kuala Lumpur
73,96,2025-01-02,jip,BMW,X7,grey,petrol,Melaka
74,97,2025-01-02,jip,BMW,X7,black,petrol,W.P. Kuala Lumpur
76,101,2025-01-02,jip,BMW,iX,grey,electric,W.P. Kuala Lumpur
77,104,2025-01-02,jip,BMW,iX3,white,electric,W.P. Kuala Lumpur
81,109,2025-01-02,window_van,Cam,Kingo,white,greendiesel,Sabah
85,119,2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Pulau Pinang
86,120,2025-01-02,jip,Chery,Jaecoo J7,green,petrol,W.P. Kuala Lumpur
87,121,2025-01-02,jip,Chery,Jaecoo J7,silver,petrol,W.P. Kuala Lumpur
88,124,2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Negeri Sembilan
90,126,2025-01-02,jip,Chery,Jaecoo J7,green,petrol,Pulau Pinang
91,129,2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Pulau Pinang
92,130,2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Sarawak
93,135,2025-01-02,jip,Chery,Jaecoo J7,black,petrol,W.P. Kuala Lumpur
94,139,2025-01-02,jip,Chery,Jaecoo J7,black,hybrid_petrol,W.P. Kuala Lumpur
95,143,2025-01-02,jip,Chery,Omoda 5,black,petrol,W.P. Kuala Lumpur
100,150,2025-01-02,jip,Chery,Omoda 9,white,petrol,Perak
103,153,2025-01-02,motokar,Dong Feng,Box E3,purple,electric,W.P. Kuala Lumpur
105,155,2025-01-02,motokar,Dong Feng,Box E3,green,electric,W.P. Kuala Lumpur
110,161,2025-01-02,pick_up,Ford,Ranger,black,petrol,W.P. Kuala Lumpur
111,163,2025-01-02,pick_up,Ford,Ranger,white,greendiesel,W.P. Kuala Lumpur
112,166,2025-01-02,pick_up,Ford,Ranger,white,greendiesel,Sabah
116,175,2025-01-02,jip,GAC,GS3,grey,petrol,W.P. Kuala Lumpur
117,176,2025-01-02,jip,Great Wall,Haval H6,green,hybrid_petrol,W.P. Kuala Lumpur
119,178,2025-01-02,jip,Great Wall,Tank 300,white,petrol,Johor
120,179,2025-01-02,jip,Great Wall,Tank 300,black,petrol,Sabah
121,180,2025-01-02,motokar,Honda,Civic,white,petrol,Selangor
122,181,2025-01-02,motokar,Honda,Civic,blue,petrol,Selangor
126,185,2025-01-02,window_van,Honda,STEPWGN,white,petrol,W.P. Kuala Lumpur
129,189,2025-01-02,motokar,Honda,WR-V,red,petrol,Selangor
136,201,2025-01-02,jip,Jeep,Wrangler,black,petrol,W.P. Kuala Lumpur
137,202,2025-01-02,window_van,Kia,Carnival,blue,diesel,Johor
138,203,2025-01-02,jip,Lamborghini,Urus,yellow,petrol,Sarawak
139,204,2025-01-02,jip,Land Rover,Defender,brown,diesel,W.P. Kuala Lumpur
140,205,2025-01-02,jip,Land Rover,Defender,black,petrol,W.P. Kuala Lumpur
141,206,2025-01-02,jip,Land Rover,Defender,silver,petrol,W.P. Kuala Lumpur
143,209,2025-01-02,jip,Land Rover,Range Rover Velar,black,petrol,W.P. Kuala Lumpur
144,210,2025-01-02,motokar,Lexus,IS,grey,petrol,W.P. Kuala Lumpur
146,212,2025-01-02,motokar,Lexus,IS,white,petrol,W.P. Kuala Lumpur
147,213,2025-01-02,jip,Lexus,LX,black,petrol,Sarawak
148,214,2025-01-02,jip,Lexus,LX,white,petrol,W.P. Kuala Lumpur
149,215,2025-01-02,jip,Lexus,LX,white,petrol,Sarawak
150,216,2025-01-02,jip,Lexus,RX,white,petrol,Johor
151,217,2025-01-02,jip,Lexus,RX,white,petrol,W.P. Kuala Lumpur
153,220,2025-01-02,jip,Lexus,RX,white,petrol,Pulau Pinang
154,222,2025-01-02,jip,Lexus,RX,black,petrol,Melaka
156,224,2025-01-02,jip,Lexus,RX,black,petrol,W.P. Kuala Lumpur
157,226,2025-01-02,jip,Lexus,RX,black,petrol,Johor
159,229,2025-01-02,motokar,MG,MG5,white,petrol,Perlis
161,232,2025-01-02,motokar,MG,MG5,yellow,petrol,Pulau Pinang
171,256,2025-01-02,jip,Mazda,CX-8,grey,petrol,W.P. Kuala Lumpur
173,258,2025-01-02,motokar,Mercedes Benz,A-Class,grey,petrol,Negeri Sembilan
174,259,2025-01-02,motokar,Mercedes Benz,A-Class,black,petrol,W.P. Kuala Lumpur
176,261,2025-01-02,motokar,Mercedes Benz,A-Class,white,petrol,Negeri Sembilan
177,262,2025-01-02,motokar,Mercedes Benz,A-Class,white,petrol,W.P. Kuala Lumpur
