MAKER,MODEL,MODELYEAR,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS,FUEL_TYPE,DATE_REG,TYPE,COLOUR,STATE
ACURA,MDX 4WD,2014,SUV - SMALL,3.5,6,AS6,12.7,9.1,11.1,25,255,PETROL,2025-02-03,MOTOKAR_PELBAGAI_UTILITI,WHITE,W.P. KUALA LUMPUR
ASTON-MARTIN,V8 VANTAGE,2014,TWO-SEATER,4.7,8,AM7,17.4,11.3,14.7,19,338,PETROL,2025-01-07,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
ASTON-MARTIN,V8 VANTAGE,2014,TWO-SEATER,4.7,8,M6,18.1,12.2,15.4,18,354,PETROL,2025-01-07,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
ASTON-MARTIN,V8 VANTAGE S,2014,TWO-SEATER,4.7,8,AM7,17.4,11.3,14.7,19,338,PETROL,2025-01-07,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
ASTON-MARTIN,V8 VANTAGE S,2014,TWO-SEATER,4.7,8,M6,18.1,12.2,15.4,18,354,PETROL,2025-01-07,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
ASTON-MARTIN,VANQUISH,2014,MINICOMPACT,5.9,12,A6,18.0,12.6,15.6,18,359,PETROL,2025-04-22,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,A4,2014,COMPACT,2.0,4,AV8,9.9,7.4,8.8,32,202,PETROL,2025-03-06,MOTOKAR,SILVER,JOHOR
AUDI,A4,2014,COMPACT,2.0,4,AV8,9.9,7.4,8.8,32,202,PETROL,2025-03-06,MOTOKAR,BLACK,PAHANG
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-03-06,MOTOKAR,SILVER,JOHOR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-03-06,MOTOKAR,BLACK,PAHANG
