production_order_id,production_date,finished_product,material_id,quantity_consumed
PRD-001,2025-01-15,Anti-Rust Coating,MAT002,240
PRD-001,2025-01-15,Anti-Rust Coating,MAT008,300
PRD-001,2025-01-15,Anti-Rust Coating,MAT011,150
PRD-001,2025-01-15,Anti-Rust Coating,MAT018,150
PRD-002,2025-01-15,Automotive Red Paint,MAT002,210
PRD-002,2025-01-15,Automotive Red Paint,MAT007,240
PRD-002,2025-01-15,Automotive Red Paint,MAT011,135
PRD-002,2025-01-15,Automotive Red Paint,MAT016,270
PRD-003,2025-01-15,Clear Varnish,MAT006,450
PRD-003,2025-01-15,Clear Varnish,MAT013,300
PRD-003,2025-01-15,Clear Varnish,MAT015,150
PRD-003,2025-01-15,Clear Varnish,MAT016,400
PRD-004,2025-01-15,Industrial Grey Primer,MAT003,240
PRD-004,2025-01-15,Industrial Grey Primer,MAT006,320
PRD-004,2025-01-15,Industrial Grey Primer,MAT011,200
PRD-004,2025-01-15,Industrial Grey Primer,MAT017,320
PRD-005,2025-01-15,Marine Blue Coating,MAT004,240
PRD-005,2025-01-15,Marine Blue Coating,MAT008,400
PRD-005,2025-01-15,Marine Blue Coating,MAT011,220
PRD-005,2025-01-15,Marine Blue Coating,MAT018,220
PRD-006,2025-01-15,Wood Stain Brown,MAT002,150
PRD-006,2025-01-15,Wood Stain Brown,MAT007,210
PRD-006,2025-01-15,Wood Stain Brown,MAT012,120
PRD-006,2025-01-15,Wood Stain Brown,MAT016,270
PRD-007,2025-02-07,Anti-Rust Coating,MAT002,400
PRD-007,2025-02-07,Anti-Rust Coating,MAT008,500
PRD-007,2025-02-07,Anti-Rust Coating,MAT011,250
PRD-007,2025-02-07,Anti-Rust Coating,MAT018,250
PRD-008,2025-02-07,Clear Varnish,MAT006,180
PRD-008,2025-02-07,Clear Varnish,MAT013,120
PRD-008,2025-02-07,Clear Varnish,MAT015,60
PRD-008,2025-02-07,Clear Varnish,MAT016,160
PRD-009,2025-02-07,Epoxy Floor Coating,MAT008,360
PRD-009,2025-02-07,Epoxy Floor Coating,MAT003,120
PRD-009,2025-02-07,Epoxy Floor Coating,MAT011,180
PRD-009,2025-02-07,Epoxy Floor Coating,MAT018,180
PRD-010,2025-02-07,Industrial Grey Primer,MAT003,120
PRD-010,2025-02-07,Industrial Grey Primer,MAT006,160
PRD-010,2025-02-07,Industrial Grey Primer,MAT011,100
PRD-010,2025-02-07,Industrial Grey Primer,MAT017,160
PRD-011,2025-02-07,Marine Blue Coating,MAT004,300
PRD-011,2025-02-07,Marine Blue Coating,MAT008,500
PRD-011,2025-02-07,Marine Blue Coating,MAT011,275
PRD-011,2025-02-07,Marine Blue Coating,MAT018,275
PRD-012,2025-02-07,Premium White Paint 1L,MAT001,240
PRD-012,2025-02-07,Premium White Paint 1L,MAT006,180
PRD-012,2025-02-07,Premium White Paint 1L,MAT013,120
PRD-012,2025-02-07,Premium White Paint 1L,MAT016,300
PRD-013,2025-02-07,Premium White Paint 4L,MAT001,800
PRD-013,2025-02-07,Premium White Paint 4L,MAT006,600
PRD-013,2025-02-07,Premium White Paint 4L,MAT013,400
PRD-013,2025-02-07,Premium White Paint 4L,MAT017,400
PRD-014,2025-03-09,Anti-Rust Coating,MAT002,160
PRD-014,2025-03-09,Anti-Rust Coating,MAT008,200
PRD-014,2025-03-09,Anti-Rust Coating,MAT011,100
PRD-014,2025-03-09,Anti-Rust Coating,MAT018,100
PRD-015,2025-03-09,Clear Varnish,MAT006,360
PRD-015,2025-03-09,Clear Varnish,MAT013,240
PRD-015,2025-03-09,Clear Varnish,MAT015,120
PRD-015,2025-03-09,Clear Varnish,MAT016,320
PRD-016,2025-03-09,Epoxy Floor Coating,MAT008,360
PRD-016,2025-03-09,Epoxy Floor Coating,MAT003,120
PRD-016,2025-03-09,Epoxy Floor Coating,MAT011,180
PRD-016,2025-03-09,Epoxy Floor Coating,MAT018,180
PRD-017,2025-03-09,Industrial Grey Primer,MAT003,300
PRD-017,2025-03-09,Industrial Grey Primer,MAT006,400
PRD-017,2025-03-09,Industrial Grey Primer,MAT011,250
PRD-017,2025-03-09,Industrial Grey Primer,MAT017,400
PRD-018,2025-03-09,Premium White Paint 4L,MAT001,400
PRD-018,2025-03-09,Premium White Paint 4L,MAT006,300
PRD-018,2025-03-09,Premium White Paint 4L,MAT013,200
PRD-018,2025-03-09,Premium White Paint 4L,MAT017,200
PRD-019,2025-03-09,Protective Roof Paint,MAT001,750
