unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,aqi_category,year,month
742475,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Summer 2021,2021-06-01,8.778825717,Good,2021,6
874551,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Annual Average 2023,2023-01-01,8.017380994,Good,2023,1
874539,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,503504,Southern SI,Annual Average 2023,2023-01-01,6.181403822,Good,2023,1
742264,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407,Southwest Queens,Winter 2020-21,2020-12-01,6.524448009,Good,2020,12
874550,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Summer 2023,2023-06-01,9.667046114,Good,2023,6
874407,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Summer 2023,2023-06-01,9.490783626,Good,2023,6
823442,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Summer 2022,2022-06-01,7.186699469,Good,2022,6
874508,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108,Upper East Side (CD8),Summer 2023,2023-06-01,9.157520077,Good,2023,6
823408,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Annual Average 2022,2022-01-01,6.287259641,Good,2022,1
874371,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Summer 2023,2023-06-01,8.776138037,Good,2023,6
823424,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,207,East Flatbush - Flatbush,Summer 2022,2022-06-01,6.173406281,Good,2022,6
874556,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,410,Rockaways,Summer 2023,2023-06-01,8.150636732,Good,2023,6
874861,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2023,2023-06-01,8.147909572,Good,2023,6
874320,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,207,East Flatbush - Flatbush,Summer 2023,2023-06-01,8.611497961,Good,2023,6
874873,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Summer 2023,2023-06-01,9.257483083,Good,2023,6
874413,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,103,Fordham - Bronx Pk,Summer 2023,2023-06-01,9.228735232,Good,2023,6
874870,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Summer 2023,2023-06-01,8.212676617,Good,2023,6
